,Constrs,Vars,NZs,presol_time,pConstrs,pVars,pNZs,CVars,IVars,BVars,pCVars,pIVars,pBVars,solved_with,obj_upper_bound,obj_lower_bound,gap,matrix_range_lower,matrix_range_upper,obj_range_lower,obj_range_upper,bounds_range_lower,bounds_range_upper,N,L,T,pot_circuits,formulation,target_gap,threads,walltime,region,co2limit,new_circuits,rel_exp_volume,abs_exp_volume,peak_mem,loading 0,candidates 0,building 0,solving 0,exporting 0
elec_s_250_t1_rDE-NL-LU_Co2L-1H_c1_g0.01_pGTEP_angles,961,703,2544,0.01,472,527,1866,619,84,84,443,84,84,dual simplex,27776772216.02,27538312264.0,0.008585,0.09,100000.0,1.0,40000000.0,0.07,1000000.0,47,168,1,1.0,angles,0.01,4,21600,DE-NL-LU,40.0,28.0,0.12293659170380085,6.655812761195182,416.08984399999997,0.6700167655944824,0.8700065612792969,1.7902436256408691,0.7623233795166016,1.534684419631958
elec_s_250_t1_rFR-BE_Co2L-1H_c1_g0.01_pGTEP_angles,908,623,2388,0.0,473,478,1805,537,86,86,392,86,86,nan,27569765921.83,27468253524.68,0.0036820000000000004,0.08,60000.0,1.0,40000000.0,1.0,1000000.0,46,172,1,1.0,angles,0.01,4,21600,FR-BE,40.0,14.0,0.08371207864091643,4.395540583952262,414.51171899999997,0.6565017700195312,0.8533587455749512,1.719752073287964,0.7213385105133057,1.110443353652954
elec_s_250_t1_rES-PT_Co2L-1H_c1_g0.01_pGTEP_angles,505,356,1306,0.0,238,263,937,313,43,43,220,43,43,nan,11817640761.98,11817640761.98,0.0,0.1,30000.0,1.0,40000000.0,1.0,1000000.0,24,86,1,1.0,angles,0.01,4,21600,ES-PT,40.0,0.0,0.0,0.0,414.164062,0.6095755100250244,0.4825339317321777,1.4287261962890625,0.5672433376312256,1.3640367984771729
elec_s_250_t1_rGB-IE_Co2L-1H_c1_g0.01_pGTEP_angles,521,404,1292,0.0,206,235,777,368,36,36,199,36,36,nan,12399321273.11,12399321273.11,0.0,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,27,72,1,1.0,angles,0.01,4,21600,GB-IE,40.0,1.0,0.01595258481303613,0.361479654317472,414.30859399999997,0.7132227420806885,0.4290239810943604,1.4479084014892578,0.6524741649627686,1.3032324314117432
elec_s_250_t1_rIT-CH-AT-LI-SI_Co2L-1H_c1_g0.01_pGTEP_angles,657,506,1696,0.01,298,356,1178,453,53,53,303,53,53,nan,19418326207.94,19381115596.98,0.001916,0.006,70000.0,1.0,40000000.0,1.0,1000000.0,34,106,1,1.0,angles,0.01,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.012861329757451656,0.3964009982337108,414.148438,0.6398344039916992,0.5951833724975586,1.7344284057617188,0.7632372379302979,1.5720443725585938
elec_s_250_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c1_g0.01_pGTEP_angles,377,265,984,0.0,186,180,696,231,34,34,146,34,34,nan,13010813817.21,12996812620.96,0.001076,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,19,66,1,1.0,angles,0.01,4,21600,CZ-PL-LT-LV-EE,40.0,10.0,0.24458377560873754,5.312616487020321,413.359375,0.5900781154632568,0.3690364360809326,1.4735567569732666,0.5727043151855469,0.8451945781707764
elec_s_250_t1_rSE-FI-DK-NO_Co2L-1H_c1_g0.01_pGTEP_angles,600,454,1498,0.0,278,263,1009,408,46,46,217,46,46,nan,17571499654.44,17417285385.27,0.008776,0.01,20000.0,1.0,40000000.0,1.0,1000000.0,30,92,1,1.0,angles,0.01,4,21600,SE-FI-DK-NO,40.0,6.0,0.06936589429685103,2.6654711159478146,414.320312,0.5838701725006104,0.4903943538665772,1.642514944076538,0.6446089744567871,1.474156618118286
elec_s_250_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c1_g0.01_pGTEP_angles,430,316,1112,0.0,205,226,792,279,37,37,189,37,37,nan,13626234640.35,13584010234.37,0.003099,0.04,40000.0,1.0,40000000.0,0.8,1000000.0,23,74,1,1.0,angles,0.01,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,7.0,0.06994500246135996,2.4137890563412983,412.58984399999997,0.5584287643432617,0.4385802745819092,1.3104562759399414,0.5914559364318848,0.7896082401275635
elec_s_250_t1_rDE-NL-LU_Co2L-1H_c2_g0.01_pGTEP_angles,1381,871,3888,0.01,893,700,3214,703,168,168,532,168,168,dual simplex,27207911938.12,27064785012.82,0.00526,0.09,100000.0,1.0,40000000.0,0.07,1000000.0,47,252,1,2.0,angles,0.01,4,21600,DE-NL-LU,40.0,36.0,0.15271173433121374,8.267845204256755,417.26953100000003,0.6259293556213379,1.6503183841705322,2.0141847133636475,0.8425638675689697,1.4376983642578125
elec_s_250_t1_rFR-BE_Co2L-1H_c2_g0.01_pGTEP_angles,1338,795,3764,0.01,904,653,3182,623,172,172,481,172,172,dual simplex,27373429851.86,27278619519.18,0.003464,0.08,60000.0,1.0,40000000.0,1.0,1000000.0,46,258,1,2.0,angles,0.01,4,21600,FR-BE,40.0,23.0,0.13690509374991233,7.1885910073841774,415.453125,0.6582095623016357,1.64552903175354,2.2207980155944824,0.8020596504211426,1.054302453994751
elec_s_250_t1_rES-PT_Co2L-1H_c2_g0.01_pGTEP_angles,720,442,1994,0.0,453,349,1617,356,86,86,263,86,86,nan,11817640761.98,11817640761.98,0.0,0.1,30000.0,1.0,40000000.0,1.0,1000000.0,24,129,1,2.0,angles,0.01,4,21600,ES-PT,40.0,0.0,0.0,0.0,414.73046899999997,0.6625239849090576,0.8800344467163086,2.0554063320159908,0.6512117385864258,1.3500912189483645
elec_s_250_t1_rGB-IE_Co2L-1H_c2_g0.01_pGTEP_angles,701,476,1868,0.01,392,323,1385,404,72,72,251,72,72,nan,12399321273.11,12389142382.83,0.0008210000000000001,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,27,108,1,2.0,angles,0.01,4,21600,GB-IE,40.0,1.0,0.01595258481303613,0.361479654317472,413.66796899999997,0.6419672966003418,0.7426290512084961,1.60044264793396,0.7919547557830809,1.4971940517425537
elec_s_250_t1_rIT-CH-AT-LI-SI_Co2L-1H_c2_g0.01_pGTEP_angles,922,612,2544,0.01,569,472,2057,506,106,106,366,106,106,nan,19418326207.94,19381115596.98,0.001916,0.006,70000.0,1.0,40000000.0,1.0,1000000.0,34,159,1,2.0,angles,0.01,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.012861329757451656,0.3964009982337108,416.50390600000003,0.6673288345336914,0.9807522296905518,1.6535634994506836,0.7243201732635498,1.4030396938323977
elec_s_250_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c2_g0.01_pGTEP_angles,537,329,1496,0.01,346,247,1203,263,66,66,181,66,66,nan,12821656045.53,12779009276.89,0.003326,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,19,98,1,2.0,angles,0.01,4,21600,CZ-PL-LT-LV-EE,40.0,17.0,0.35499992256375373,7.710971166460971,413.76171899999997,0.598663330078125,0.6387977600097656,1.556831121444702,0.6035089492797852,0.8898749351501465
elec_s_250_t1_rSE-FI-DK-NO_Co2L-1H_c2_g0.01_pGTEP_angles,830,546,2234,0.01,508,371,1760,454,92,92,279,92,92,nan,16961975522.22,16870188962.85,0.005411,0.01,20000.0,1.0,40000000.0,1.0,1000000.0,30,138,1,2.0,angles,0.01,4,21600,SE-FI-DK-NO,40.0,12.0,0.1213053174869029,4.661308316569881,414.9375,0.6129043102264404,0.9096133708953856,1.9532320499420168,0.7081348896026611,1.5350477695465088
elec_s_250_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c2_g0.01_pGTEP_angles,615,390,1704,0.0,391,304,1386,316,74,74,230,74,74,nan,13661162788.23,13560850428.78,0.007343,0.04,40000.0,1.0,40000000.0,0.8,1000000.0,23,111,1,2.0,angles,0.01,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,7.0,0.06611868643622303,2.281743600303448,413.12109399999997,0.5871109962463379,0.6858704090118408,1.50317120552063,0.664684534072876,0.8456871509552002
elec_s_250_t1_rDE-NL-LU_Co2L-1H_c1_g0.005_pGTEP_angles,961,703,2544,0.01,472,527,1866,619,84,84,443,84,84,dual simplex,27738788738.97,27603204358.12,0.004888,0.09,100000.0,1.0,40000000.0,0.07,1000000.0,47,168,1,1.0,angles,0.005,4,21600,DE-NL-LU,40.0,26.0,0.11589407825101057,6.274529611399505,416.523438,0.6336166858673096,0.8994641304016113,2.373767137527466,0.8406968116760254,1.4972891807556152
elec_s_250_t1_rFR-BE_Co2L-1H_c1_g0.005_pGTEP_angles,908,623,2388,0.01,473,478,1805,537,86,86,392,86,86,nan,27569765921.83,27468253524.68,0.0036820000000000004,0.08,60000.0,1.0,40000000.0,1.0,1000000.0,46,172,1,1.0,angles,0.005,4,21600,FR-BE,40.0,14.0,0.08371207864091643,4.395540583952262,422.652344,0.7287003993988037,1.0859146118164062,2.601195812225342,0.8492813110351562,1.1389224529266355
elec_s_250_t1_rES-PT_Co2L-1H_c1_g0.005_pGTEP_angles,505,356,1306,0.0,238,263,937,313,43,43,220,43,43,nan,11817640761.98,11817640761.98,0.0,0.1,30000.0,1.0,40000000.0,1.0,1000000.0,24,86,1,1.0,angles,0.005,4,21600,ES-PT,40.0,0.0,0.0,0.0,414.51953100000003,0.8734993934631348,0.4966917037963867,1.969745635986328,0.7894101142883301,1.4346330165863037
elec_s_250_t1_rGB-IE_Co2L-1H_c1_g0.005_pGTEP_angles,521,404,1292,0.0,206,235,777,368,36,36,199,36,36,nan,12399321273.11,12399321273.11,0.0,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,27,72,1,1.0,angles,0.005,4,21600,GB-IE,40.0,1.0,0.01595258481303613,0.361479654317472,414.234375,0.7421028614044191,0.49638247489929205,1.3349649906158447,0.682147741317749,1.298224687576294
elec_s_250_t1_rIT-CH-AT-LI-SI_Co2L-1H_c1_g0.005_pGTEP_angles,657,506,1696,0.01,298,356,1178,453,53,53,303,53,53,nan,19418326207.94,19381115596.98,0.001916,0.006,70000.0,1.0,40000000.0,1.0,1000000.0,34,106,1,1.0,angles,0.005,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.012861329757451656,0.3964009982337108,413.87109399999997,0.6572086811065674,0.6122095584869385,2.1887857913970947,0.7753622531890869,1.6002655029296875
elec_s_250_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c1_g0.005_pGTEP_angles,377,265,984,0.0,186,180,696,231,34,34,146,34,34,nan,13010813817.21,12996812620.96,0.001076,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,19,66,1,1.0,angles,0.005,4,21600,CZ-PL-LT-LV-EE,40.0,10.0,0.24458377560873754,5.312616487020321,412.37890600000003,0.8241431713104248,0.41822195053100586,2.0642547607421875,0.6217100620269775,0.9624009132385254
elec_s_250_t1_rSE-FI-DK-NO_Co2L-1H_c1_g0.005_pGTEP_angles,600,454,1498,0.0,278,263,1009,408,46,46,217,46,46,nan,17504404047.8,17417285385.27,0.004977,0.01,20000.0,1.0,40000000.0,1.0,1000000.0,30,92,1,1.0,angles,0.005,4,21600,SE-FI-DK-NO,40.0,3.0,0.021668173147372224,0.8326266134840077,414.179688,0.6391503810882568,0.4601743221282959,1.486215114593506,0.6547079086303711,1.522514820098877
elec_s_250_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c1_g0.005_pGTEP_angles,430,316,1112,0.0,205,226,792,279,37,37,189,37,37,nan,13626234640.35,13584010234.37,0.003099,0.04,40000.0,1.0,40000000.0,0.8,1000000.0,23,74,1,1.0,angles,0.005,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,7.0,0.06994500246135996,2.4137890563412983,413.351562,0.7628982067108154,0.6188325881958008,2.0997879505157466,0.7628786563873291,0.9817574024200441
elec_s_250_t1_rDE-NL-LU_Co2L-1H_c2_g0.005_pGTEP_angles,1381,871,3888,0.01,893,700,3214,703,168,168,532,168,168,dual simplex,27207911938.12,27089370259.83,0.004357,0.09,100000.0,1.0,40000000.0,0.07,1000000.0,47,252,1,2.0,angles,0.005,4,21600,DE-NL-LU,40.0,36.0,0.15271173433121374,8.267845204256755,417.546875,0.5840260982513428,1.5657320022583008,2.1341421604156494,0.8230781555175781,1.4224729537963867
elec_s_250_t1_rFR-BE_Co2L-1H_c2_g0.005_pGTEP_angles,1338,795,3764,0.01,904,653,3182,623,172,172,481,172,172,dual simplex,27373429851.86,27278619519.18,0.003464,0.08,60000.0,1.0,40000000.0,1.0,1000000.0,46,258,1,2.0,angles,0.005,4,21600,FR-BE,40.0,23.0,0.13690509374991233,7.1885910073841774,416.304688,0.6539885997772217,1.8650217056274412,2.569772720336914,0.8697974681854248,1.0796549320220947
elec_s_250_t1_rES-PT_Co2L-1H_c2_g0.005_pGTEP_angles,720,442,1994,0.0,453,349,1617,356,86,86,263,86,86,nan,11817640761.98,11817640761.98,0.0,0.1,30000.0,1.0,40000000.0,1.0,1000000.0,24,129,1,2.0,angles,0.005,4,21600,ES-PT,40.0,0.0,0.0,0.0,414.523438,0.6265642642974854,0.8473742008209229,1.5439879894256592,0.6491632461547852,1.2467830181121826
elec_s_250_t1_rGB-IE_Co2L-1H_c2_g0.005_pGTEP_angles,701,476,1868,0.01,392,323,1385,404,72,72,251,72,72,nan,12399321273.11,12389142382.83,0.0008210000000000001,0.08,100000.0,1.0,40000000.0,1.0,1000000.0,27,108,1,2.0,angles,0.005,4,21600,GB-IE,40.0,1.0,0.01595258481303613,0.361479654317472,414.91015600000003,0.6667482852935791,0.8342788219451904,2.1844007968902592,0.7270405292510986,1.589902639389038
elec_s_250_t1_rIT-CH-AT-LI-SI_Co2L-1H_c2_g0.005_pGTEP_angles,922,612,2544,0.01,569,472,2057,506,106,106,366,106,106,nan,19418326207.94,19381115596.98,0.001916,0.006,70000.0,1.0,40000000.0,1.0,1000000.0,34,159,1,2.0,angles,0.005,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.012861329757451656,0.3964009982337108,415.523438,0.7288804054260254,1.349433183670044,2.301992893218994,0.725360631942749,1.6158492565155032
elec_s_250_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c2_g0.005_pGTEP_angles,537,329,1496,0.01,346,247,1203,263,66,66,181,66,66,nan,12821656045.53,12779009276.89,0.003326,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,19,98,1,2.0,angles,0.005,4,21600,CZ-PL-LT-LV-EE,40.0,17.0,0.35499992256375373,7.710971166460971,413.44140600000003,0.7360289096832275,0.7803585529327393,2.530353307723999,0.64119553565979,1.16991925239563
elec_s_250_t1_rSE-FI-DK-NO_Co2L-1H_c2_g0.005_pGTEP_angles,830,546,2234,0.01,508,371,1760,454,92,92,279,92,92,nan,16961975522.22,16878758171.62,0.004906,0.01,20000.0,1.0,40000000.0,1.0,1000000.0,30,138,1,2.0,angles,0.005,4,21600,SE-FI-DK-NO,40.0,12.0,0.1213053174869029,4.661308316569881,437.886719,0.7779669761657715,1.251554250717163,2.575132131576538,0.853179931640625,1.6549196243286133
elec_s_250_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c2_g0.005_pGTEP_angles,615,390,1704,0.01,391,304,1386,316,74,74,230,74,74,nan,13636583798.59,13570559495.1,0.004842,0.04,40000.0,1.0,40000000.0,0.8,1000000.0,23,111,1,2.0,angles,0.005,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,8.0,0.07275323250946002,2.5107005542218994,413.773438,0.8540010452270508,0.9804048538208008,2.2318809032440186,0.8527040481567383,0.889324426651001
elec_s_250_t1_rDE-NL-LU_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,913,656,2321,0.01,430,485,1665,572,84,84,401,84,84,nan,27756299643.66,27563262868.74,0.006955,0.09,100000.0,1.0,40000000.0,0.07,1000000.0,47,168,1,1.0,kirchhoff,0.01,4,21600,DE-NL-LU,40.0,26.0,0.11634753218853375,6.299079702321601,580.3046879999999,0.629986047744751,0.8977196216583252,3.0219886302948,0.8512058258056641,1.4917144775390625
elec_s_250_t1_rFR-BE_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,861,577,2189,0.01,432,437,1628,491,86,86,351,86,86,nan,27555515983.31,27471481239.44,0.0030499999999999998,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,46,172,1,1.0,kirchhoff,0.01,4,21600,FR-BE,40.0,13.0,0.07591748237192843,3.9862631559860495,414.95703100000003,0.5944349765777588,0.8564696311950684,2.305720806121826,0.7952954769134521,0.9095673561096193
elec_s_250_t1_rES-PT_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,479,332,1174,0.0,220,244,828,289,43,43,201,43,43,nan,11817640761.98,11817640761.98,0.0,0.1,200000.0,1.0,40000000.0,1.0,1000000.0,24,86,1,1.0,kirchhoff,0.01,4,21600,ES-PT,40.0,0.0,0.0,0.0,414.765625,0.6278684139251709,0.5355751514434814,2.0936272144317627,0.7657177448272705,1.2233223915100098
elec_s_250_t1_rGB-IE_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,492,377,1150,0.0,191,220,689,341,36,36,184,36,36,nan,12399321273.11,12399321273.11,0.0,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,27,72,1,1.0,kirchhoff,0.01,4,21600,GB-IE,40.0,1.0,0.01595258481303613,0.361479654317472,415.40234399999997,0.67995285987854,0.4830827713012695,1.7666478157043457,0.811692476272583,1.2332031726837158
elec_s_250_t1_rIT-CH-AT-LI-SI_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,621,472,1506,0.01,274,332,1032,419,53,53,279,53,53,nan,19418326207.94,19381115596.98,0.001916,0.006,200000.0,1.0,40000000.0,1.0,1000000.0,34,106,1,1.0,kirchhoff,0.01,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.012861329757451656,0.3964009982337108,414.921875,0.7390048503875732,0.5785689353942871,2.578730583190918,0.8883256912231445,1.4076838493347168
elec_s_250_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,354,246,856,0.01,169,166,590,212,34,34,132,34,34,nan,13120556300.27,12997161863.39,0.009405,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,19,66,1,1.0,kirchhoff,0.01,4,21600,CZ-PL-LT-LV-EE,40.0,9.0,0.21973644621548047,4.772906396011625,412.82421899999997,0.7505099773406982,0.3797249794006348,2.046104431152344,0.672473669052124,0.8229470252990723
elec_s_250_t1_rSE-FI-DK-NO_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,568,424,1331,0.0,251,236,851,378,46,46,190,46,46,nan,17504404047.8,17417285385.27,0.004977,0.01,400000.0,1.0,40000000.0,1.0,1000000.0,30,92,1,1.0,kirchhoff,0.01,4,21600,SE-FI-DK-NO,40.0,3.0,0.021668173147372224,0.8326266134840077,414.46484399999997,0.6798229217529297,0.5395095348358154,1.9416651725769043,0.7968955039978027,1.3177719116210938
elec_s_250_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c1_g0.01_pGTEP_kirchhoff,406,293,979,0.0,187,208,681,256,37,37,171,37,37,nan,13612596468.72,13584010234.37,0.0021,0.04,200000.0,1.0,40000000.0,0.8,1000000.0,23,74,1,1.0,kirchhoff,0.01,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,7.0,0.0694012630667552,2.3950247107267044,413.32421899999997,0.5145938396453857,0.4020838737487793,1.6075351238250732,0.7091951370239258,0.7575347423553467
elec_s_250_t1_rDE-NL-LU_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,1333,824,3465,0.01,850,657,2817,656,168,168,489,168,168,dual simplex,27217633394.43,27068775421.33,0.005469000000000001,0.09,100000.0,1.0,40000000.0,0.07,1000000.0,47,252,1,2.0,kirchhoff,0.01,4,21600,DE-NL-LU,40.0,33.0,0.1416944045692825,7.671364668986717,417.12109399999997,0.6471843719482422,1.582730770111084,3.3780977725982666,0.9503765106201172,1.5598182678222656
elec_s_250_t1_rFR-BE_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,1291,749,3351,0.01,862,611,2793,577,172,172,439,172,172,barrier,27446396808.28,27282028227.68,0.0059889999999999995,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,46,258,1,2.0,kirchhoff,0.01,4,21600,FR-BE,40.0,20.0,0.11862859794909494,6.2289316567960284,415.328125,0.6257627010345459,1.6084046363830566,3.4067277908325195,0.8562538623809814,0.9679386615753174
elec_s_250_t1_rES-PT_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,694,418,1778,0.01,435,331,1436,332,86,86,245,86,86,nan,11817640761.98,11817640761.98,0.0,0.1,200000.0,1.0,40000000.0,1.0,1000000.0,24,129,1,2.0,kirchhoff,0.01,4,21600,ES-PT,40.0,0.0,0.0,0.0,414.710938,0.6450095176696777,0.8767409324645996,2.207174301147461,0.8583531379699707,1.3109393119812012
elec_s_250_t1_rGB-IE_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,672,449,1655,0.01,371,302,1210,377,72,72,230,72,72,nan,12399321273.11,12389142382.83,0.0008210000000000001,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,27,108,1,2.0,kirchhoff,0.01,4,21600,GB-IE,40.0,1.0,0.01595258481303613,0.361479654317472,415.02734399999997,0.5786912441253662,0.6792099475860596,2.1909132003784184,0.8718039989471436,1.4504249095916748
elec_s_250_t1_rIT-CH-AT-LI-SI_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,886,578,2250,0.01,539,442,1784,472,106,106,336,106,106,nan,19418326207.94,19386692588.57,0.0016289999999999998,0.006,200000.0,1.0,40000000.0,1.0,1000000.0,34,159,1,2.0,kirchhoff,0.01,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.012861329757451656,0.3964009982337108,415.98046899999997,0.5670020580291748,0.9615168571472168,2.46901273727417,0.8756716251373291,1.4305076599121094
elec_s_250_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,514,310,1307,0.0,329,233,1047,244,66,66,167,66,66,nan,12850013009.83,12779780095.68,0.0054659999999999995,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,19,98,1,2.0,kirchhoff,0.01,4,21600,CZ-PL-LT-LV-EE,40.0,16.0,0.34507483383415244,7.495387815158188,414.109375,0.6852304935455322,0.6670892238616943,2.0759365558624268,0.7186408042907715,0.9503138065338136
elec_s_250_t1_rSE-FI-DK-NO_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,798,516,1977,0.01,481,344,1514,424,92,92,252,92,92,nan,16997804785.55,16870800249.66,0.0074719999999999995,0.01,400000.0,1.0,40000000.0,1.0,1000000.0,30,138,1,2.0,kirchhoff,0.01,4,21600,SE-FI-DK-NO,40.0,12.0,0.11617943501390583,4.46433988108707,415.203125,0.7139556407928467,1.0878493785858154,2.836939811706543,0.7634565830230713,1.4164435863494873
elec_s_250_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c2_g0.01_pGTEP_kirchhoff,591,367,1501,0.01,372,285,1208,293,74,74,211,74,74,nan,13675876896.18,13560850428.78,0.008411,0.04,200000.0,1.0,40000000.0,0.8,1000000.0,23,111,1,2.0,kirchhoff,0.01,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,8.0,0.08128866414760214,2.8052567162676207,412.875,0.680142879486084,0.7334408760070801,2.1244850158691406,0.6907420158386229,0.8284738063812256
elec_s_250_t1_rDE-NL-LU_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,913,656,2298,0.01,430,485,1642,572,84,84,401,84,84,nan,27756299643.66,27649891485.56,0.003834,0.09,100000.0,1.0,40000000.0,0.07,1000000.0,47,168,1,1.0,kirchhoff,0.005,4,21600,DE-NL-LU,40.0,26.0,0.11634753218853375,6.299079702321601,416.51953100000003,0.8517606258392334,1.0224344730377195,3.330497026443481,1.026950120925903,1.6587657928466797
elec_s_250_t1_rFR-BE_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,861,577,2141,0.01,432,437,1580,491,86,86,351,86,86,nan,27555515983.31,27471481239.44,0.0030499999999999998,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,46,172,1,1.0,kirchhoff,0.005,4,21600,FR-BE,40.0,13.0,0.07591748237192843,3.9862631559860495,422.859375,0.5839738845825195,1.0234830379486084,3.1756784915924072,0.8537039756774902,1.0285048484802246
elec_s_250_t1_rES-PT_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,479,332,1174,0.0,220,244,828,289,43,43,201,43,43,nan,11817640761.98,11817640761.98,0.0,0.1,200000.0,1.0,40000000.0,1.0,1000000.0,24,86,1,1.0,kirchhoff,0.005,4,21600,ES-PT,40.0,0.0,0.0,0.0,414.507812,0.7240328788757324,0.6770474910736084,2.7689549922943115,0.8473331928253174,1.4628250598907468
elec_s_250_t1_rGB-IE_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,492,377,1150,0.0,191,220,689,341,36,36,184,36,36,nan,12399321273.11,12399321273.11,0.0,0.08,200000.0,1.0,40000000.0,1.0,1000000.0,27,72,1,1.0,kirchhoff,0.005,4,21600,GB-IE,40.0,1.0,0.01595258481303613,0.361479654317472,414.617188,0.6938345432281494,0.4155259132385254,2.337589263916016,0.787306547164917,1.4964613914489746
elec_s_250_t1_rIT-CH-AT-LI-SI_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,621,472,1506,0.0,274,332,1032,419,53,53,279,53,53,nan,19418326207.94,19381115596.98,0.001916,0.006,200000.0,1.0,40000000.0,1.0,1000000.0,34,106,1,1.0,kirchhoff,0.005,4,21600,IT-CH-AT-LI-SI,40.0,1.0,0.012861329757451656,0.3964009982337108,414.15625,0.7348296642303467,0.6420927047729492,2.7397000789642334,0.8796248435974121,1.4478712081909182
elec_s_250_t1_rCZ-PL-LT-LV-EE_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,354,246,859,0.0,169,166,593,212,34,34,132,34,34,nan,13010761395.61,12997161863.39,0.001045,0.09,200000.0,1.0,40000000.0,1.0,1000000.0,19,66,1,1.0,kirchhoff,0.005,4,21600,CZ-PL-LT-LV-EE,40.0,7.0,0.2065151879559509,4.485726780626617,413.148438,0.6524076461791992,0.3910975456237793,2.401407241821289,0.7069158554077148,0.9411902427673341
elec_s_250_t1_rSE-FI-DK-NO_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,568,424,1329,0.0,251,236,849,378,46,46,190,46,46,nan,17504404047.8,17417285385.27,0.004977,0.01,400000.0,1.0,40000000.0,1.0,1000000.0,30,92,1,1.0,kirchhoff,0.005,4,21600,SE-FI-DK-NO,40.0,3.0,0.021668173147372224,0.8326266134840077,414.664062,0.6809368133544922,0.6775534152984619,2.9238171577453613,0.9066181182861328,1.7415752410888672
elec_s_250_t1_rRO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK_Co2L-1H_c1_g0.005_pGTEP_kirchhoff,406,293,983,0.0,187,208,685,256,37,37,171,37,37,nan,13612596468.72,13584010234.37,0.0021,0.04,200000.0,1.0,40000000.0,0.8,1000000.0,23,74,1,1.0,kirchhoff,0.005,4,21600,RO-RS-BA-ME-HR-MK-GR-AL-BG-HU-SK,40.0,7.0,0.0694012630667552,2.3950247107267044,412.22265600000003,0.643500566482544,0.4984073638916016,2.1922903060913086,0.9021544456481934,0.9214565753936768
